intervalstarttime_gmt,intervalendtime_gmt,opr_dt,opr_hr,node,lmp_type,mw
2021-07-05T22:00:00Z,2021-07-05T23:00:00Z,2021-07-05,16,IRONMTN_2_N001,LMP,40.20187
2021-07-06T00:00:00Z,2021-07-06T01:00:00Z,2021-07-05,18,IRONMTN_2_N001,LMP,46.94925
2021-07-05T10:00:00Z,2021-07-05T11:00:00Z,2021-07-05,4,IRONMTN_2_N001,LMP,35.57457
2021-07-05T17:00:00Z,2021-07-05T18:00:00Z,2021-07-05,11,IRONMTN_2_N001,LMP,22.59347
2021-07-05T23:00:00Z,2021-07-06T00:00:00Z,2021-07-05,17,IRONMTN_2_N001,LMP,45.3713
2021-07-06T01:00:00Z,2021-07-06T02:00:00Z,2021-07-05,19,IRONMTN_2_N001,LMP,56.80292
2021-07-05T15:00:00Z,2021-07-05T16:00:00Z,2021-07-05,9,IRONMTN_2_N001,LMP,18.77757
2021-07-05T20:00:00Z,2021-07-05T21:00:00Z,2021-07-05,14,IRONMTN_2_N001,LMP,38.17002
2021-07-05T09:00:00Z,2021-07-05T10:00:00Z,2021-07-05,3,IRONMTN_2_N001,LMP,35.77567
2021-07-05T11:00:00Z,2021-07-05T12:00:00Z,2021-07-05,5,IRONMTN_2_N001,LMP,36.39508
2021-07-05T19:00:00Z,2021-07-05T20:00:00Z,2021-07-05,13,IRONMTN_2_N001,LMP,32.75397
2021-07-06T03:00:00Z,2021-07-06T04:00:00Z,2021-07-05,21,IRONMTN_2_N001,LMP,57.22114
2021-07-05T07:00:00Z,2021-07-05T08:00:00Z,2021-07-05,1,IRONMTN_2_N001,LMP,39.45243
2021-07-06T05:00:00Z,2021-07-06T06:00:00Z,2021-07-05,23,IRONMTN_2_N001,LMP,45.41572
2021-07-06T02:00:00Z,2021-07-06T03:00:00Z,2021-07-05,20,IRONMTN_2_N001,LMP,70.55389
2021-07-06T18:00:00Z,2021-07-06T19:00:00Z,2021-07-06,12,IRONMTN_2_N001,LMP,36.5357
2021-07-06T23:00:00Z,2021-07-07T00:00:00Z,2021-07-06,17,IRONMTN_2_N001,LMP,53.00363
2021-07-06T19:00:00Z,2021-07-06T20:00:00Z,2021-07-06,13,IRONMTN_2_N001,LMP,39.32777
2021-07-07T01:00:00Z,2021-07-07T02:00:00Z,2021-07-06,19,IRONMTN_2_N001,LMP,64.78154
2021-07-06T09:00:00Z,2021-07-06T10:00:00Z,2021-07-06,3,IRONMTN_2_N001,LMP,33.42391
2021-07-06T11:00:00Z,2021-07-06T12:00:00Z,2021-07-06,5,IRONMTN_2_N001,LMP,34.24871
2021-07-06T12:00:00Z,2021-07-06T13:00:00Z,2021-07-06,6,IRONMTN_2_N001,LMP,36.97682
2021-07-07T06:00:00Z,2021-07-07T07:00:00Z,2021-07-06,24,IRONMTN_2_N001,LMP,42.05231
2021-07-06T20:00:00Z,2021-07-06T21:00:00Z,2021-07-06,14,IRONMTN_2_N001,LMP,41.19684
2021-07-07T02:00:00Z,2021-07-07T03:00:00Z,2021-07-06,20,IRONMTN_2_N001,LMP,93.67165
2021-07-07T05:00:00Z,2021-07-07T06:00:00Z,2021-07-06,23,IRONMTN_2_N001,LMP,44.78488
2021-07-06T13:00:00Z,2021-07-06T14:00:00Z,2021-07-06,7,IRONMTN_2_N001,LMP,46.5734
2021-07-06T16:00:00Z,2021-07-06T17:00:00Z,2021-07-06,10,IRONMTN_2_N001,LMP,33.33159
2021-07-07T00:00:00Z,2021-07-07T01:00:00Z,2021-07-06,18,IRONMTN_2_N001,LMP,56.99123
2021-07-07T03:00:00Z,2021-07-07T04:00:00Z,2021-07-06,21,IRONMTN_2_N001,LMP,76.52174
2021-07-07T04:00:00Z,2021-07-07T05:00:00Z,2021-07-06,22,IRONMTN_2_N001,LMP,66.57765
2021-07-06T22:00:00Z,2021-07-06T23:00:00Z,2021-07-06,16,IRONMTN_2_N001,LMP,54.83675
2021-07-06T07:00:00Z,2021-07-06T08:00:00Z,2021-07-06,1,IRONMTN_2_N001,LMP,36.65963
2021-07-06T08:00:00Z,2021-07-06T09:00:00Z,2021-07-06,2,IRONMTN_2_N001,LMP,35.84361
2021-07-06T10:00:00Z,2021-07-06T11:00:00Z,2021-07-06,4,IRONMTN_2_N001,LMP,32.87081
2021-07-06T15:00:00Z,2021-07-06T16:00:00Z,2021-07-06,9,IRONMTN_2_N001,LMP,32.55792
2021-07-06T17:00:00Z,2021-07-06T18:00:00Z,2021-07-06,11,IRONMTN_2_N001,LMP,33.35771
2021-07-06T21:00:00Z,2021-07-06T22:00:00Z,2021-07-06,15,IRONMTN_2_N001,LMP,45.74852
2021-07-06T14:00:00Z,2021-07-06T15:00:00Z,2021-07-06,8,IRONMTN_2_N001,LMP,35.57641
2021-07-07T09:00:00Z,2021-07-07T10:00:00Z,2021-07-07,3,IRONMTN_2_N001,LMP,34.60807
2021-07-07T23:00:00Z,2021-07-08T00:00:00Z,2021-07-07,17,IRONMTN_2_N001,LMP,57.71666
