intervalstarttime_gmt,intervalendtime_gmt,opr_dt,opr_hr,node,lmp_type,mw
2021-09-09T17:00:00Z,2021-09-09T18:00:00Z,2021-09-09,11,IRONMTN_2_N001,LMP,116.4961
2021-09-09T10:00:00Z,2021-09-09T11:00:00Z,2021-09-09,4,IRONMTN_2_N001,LMP,86.52772
2021-09-09T14:00:00Z,2021-09-09T15:00:00Z,2021-09-09,8,IRONMTN_2_N001,LMP,132.1433
2021-09-10T04:00:00Z,2021-09-10T05:00:00Z,2021-09-09,22,IRONMTN_2_N001,LMP,248.91322
2021-09-09T16:00:00Z,2021-09-09T17:00:00Z,2021-09-09,10,IRONMTN_2_N001,LMP,100.38082
2021-09-09T09:00:00Z,2021-09-09T10:00:00Z,2021-09-09,3,IRONMTN_2_N001,LMP,89.8818
2021-09-10T00:00:00Z,2021-09-10T01:00:00Z,2021-09-09,18,IRONMTN_2_N001,LMP,299.6292
2021-09-10T01:00:00Z,2021-09-10T02:00:00Z,2021-09-09,19,IRONMTN_2_N001,LMP,678.9511
2021-09-09T12:00:00Z,2021-09-09T13:00:00Z,2021-09-09,6,IRONMTN_2_N001,LMP,116.23629
2021-09-09T19:00:00Z,2021-09-09T20:00:00Z,2021-09-09,13,IRONMTN_2_N001,LMP,161.69952
2021-09-09T21:00:00Z,2021-09-09T22:00:00Z,2021-09-09,15,IRONMTN_2_N001,LMP,202.77452
2021-09-09T11:00:00Z,2021-09-09T12:00:00Z,2021-09-09,5,IRONMTN_2_N001,LMP,100.43613
2021-09-09T13:00:00Z,2021-09-09T14:00:00Z,2021-09-09,7,IRONMTN_2_N001,LMP,185.55761999999999
2021-09-10T06:00:00Z,2021-09-10T07:00:00Z,2021-09-09,24,IRONMTN_2_N001,LMP,135.7482
2021-09-09T08:00:00Z,2021-09-09T09:00:00Z,2021-09-09,2,IRONMTN_2_N001,LMP,94.91008
2021-09-09T15:00:00Z,2021-09-09T16:00:00Z,2021-09-09,9,IRONMTN_2_N001,LMP,96.9306
2021-09-10T02:00:00Z,2021-09-10T03:00:00Z,2021-09-09,20,IRONMTN_2_N001,LMP,409.5447
2021-09-10T03:00:00Z,2021-09-10T04:00:00Z,2021-09-09,21,IRONMTN_2_N001,LMP,259.7121
2021-09-09T07:00:00Z,2021-09-09T08:00:00Z,2021-09-09,1,IRONMTN_2_N001,LMP,101.29611
2021-09-09T20:00:00Z,2021-09-09T21:00:00Z,2021-09-09,14,IRONMTN_2_N001,LMP,194.36827
2021-09-11T05:00:00Z,2021-09-11T06:00:00Z,2021-09-10,23,IRONMTN_2_N001,LMP,87.34884
2021-09-10T19:00:00Z,2021-09-10T20:00:00Z,2021-09-10,13,IRONMTN_2_N001,LMP,79.66125
2021-09-11T06:00:00Z,2021-09-11T07:00:00Z,2021-09-10,24,IRONMTN_2_N001,LMP,80.02579
2021-09-11T03:00:00Z,2021-09-11T04:00:00Z,2021-09-10,21,IRONMTN_2_N001,LMP,122.9375
2021-09-10T18:00:00Z,2021-09-10T19:00:00Z,2021-09-10,12,IRONMTN_2_N001,LMP,61.58049
2021-09-10T09:00:00Z,2021-09-10T10:00:00Z,2021-09-10,3,IRONMTN_2_N001,LMP,66.85049
2021-09-11T02:00:00Z,2021-09-11T03:00:00Z,2021-09-10,20,IRONMTN_2_N001,LMP,157.01582
2021-09-11T04:00:00Z,2021-09-11T05:00:00Z,2021-09-10,22,IRONMTN_2_N001,LMP,100.78517
2021-09-10T11:00:00Z,2021-09-10T12:00:00Z,2021-09-10,5,IRONMTN_2_N001,LMP,72.23511
2021-09-10T20:00:00Z,2021-09-10T21:00:00Z,2021-09-10,14,IRONMTN_2_N001,LMP,79.94894
2021-09-11T01:00:00Z,2021-09-11T02:00:00Z,2021-09-10,19,IRONMTN_2_N001,LMP,197.45627
2021-09-10T16:00:00Z,2021-09-10T17:00:00Z,2021-09-10,10,IRONMTN_2_N001,LMP,56.11381
2021-09-10T14:00:00Z,2021-09-10T15:00:00Z,2021-09-10,8,IRONMTN_2_N001,LMP,73.61824
2021-09-10T17:00:00Z,2021-09-10T18:00:00Z,2021-09-10,11,IRONMTN_2_N001,LMP,56.70948
