intervalstarttime_gmt,intervalendtime_gmt,opr_dt,opr_hr,node,lmp_type,mw
2021-04-04T21:00:00Z,2021-04-04T22:00:00Z,2021-04-04,15,IRONMTN_2_N001,LMP,0.08438
2021-04-04T23:00:00Z,2021-04-05T00:00:00Z,2021-04-04,17,IRONMTN_2_N001,LMP,3.63082
2021-04-04T09:00:00Z,2021-04-04T10:00:00Z,2021-04-04,3,IRONMTN_2_N001,LMP,30.11218
2021-04-04T16:00:00Z,2021-04-04T17:00:00Z,2021-04-04,10,IRONMTN_2_N001,LMP,0.66733
2021-04-04T17:00:00Z,2021-04-04T18:00:00Z,2021-04-04,11,IRONMTN_2_N001,LMP,0.28579
2021-04-05T02:00:00Z,2021-04-05T03:00:00Z,2021-04-04,20,IRONMTN_2_N001,LMP,48.88606
2021-04-04T07:00:00Z,2021-04-04T08:00:00Z,2021-04-04,1,IRONMTN_2_N001,LMP,33.08606
2021-04-05T04:00:00Z,2021-04-05T05:00:00Z,2021-04-04,22,IRONMTN_2_N001,LMP,40.75296
2021-04-05T06:00:00Z,2021-04-05T07:00:00Z,2021-04-04,24,IRONMTN_2_N001,LMP,33.31061
2021-04-04T20:00:00Z,2021-04-04T21:00:00Z,2021-04-04,14,IRONMTN_2_N001,LMP,0.04144
2021-04-05T01:00:00Z,2021-04-05T02:00:00Z,2021-04-04,19,IRONMTN_2_N001,LMP,41.8705
2021-04-04T22:00:00Z,2021-04-04T23:00:00Z,2021-04-04,16,IRONMTN_2_N001,LMP,0.28393
2021-04-04T11:00:00Z,2021-04-04T12:00:00Z,2021-04-04,5,IRONMTN_2_N001,LMP,31.31725
2021-04-04T12:00:00Z,2021-04-04T13:00:00Z,2021-04-04,6,IRONMTN_2_N001,LMP,34.33433
2021-04-04T13:00:00Z,2021-04-04T14:00:00Z,2021-04-04,7,IRONMTN_2_N001,LMP,35.84553
2021-04-04T14:00:00Z,2021-04-04T15:00:00Z,2021-04-04,8,IRONMTN_2_N001,LMP,27.21041
2021-04-05T03:00:00Z,2021-04-05T04:00:00Z,2021-04-04,21,IRONMTN_2_N001,LMP,43.3032
2021-04-05T05:00:00Z,2021-04-05T06:00:00Z,2021-04-04,23,IRONMTN_2_N001,LMP,38.07547
2021-04-05T00:00:00Z,2021-04-05T01:00:00Z,2021-04-04,18,IRONMTN_2_N001,LMP,22.1563
2021-04-05T18:00:00Z,2021-04-05T19:00:00Z,2021-04-05,12,IRONMTN_2_N001,LMP,2.31184
2021-04-06T03:00:00Z,2021-04-06T04:00:00Z,2021-04-05,21,IRONMTN_2_N001,LMP,48.76506
2021-04-05T13:00:00Z,2021-04-05T14:00:00Z,2021-04-05,7,IRONMTN_2_N001,LMP,42.253660000000004
2021-04-05T20:00:00Z,2021-04-05T21:00:00Z,2021-04-05,14,IRONMTN_2_N001,LMP,1.58168
2021-04-05T22:00:00Z,2021-04-05T23:00:00Z,2021-04-05,16,IRONMTN_2_N001,LMP,8.74782
2021-04-05T07:00:00Z,2021-04-05T08:00:00Z,2021-04-05,1,IRONMTN_2_N001,LMP,26.24559
2021-04-05T11:00:00Z,2021-04-05T12:00:00Z,2021-04-05,5,IRONMTN_2_N001,LMP,29.8204
2021-04-05T15:00:00Z,2021-04-05T16:00:00Z,2021-04-05,9,IRONMTN_2_N001,LMP,19.00486
2021-04-06T06:00:00Z,2021-04-06T07:00:00Z,2021-04-05,24,IRONMTN_2_N001,LMP,35.27799
2021-04-05T17:00:00Z,2021-04-05T18:00:00Z,2021-04-05,11,IRONMTN_2_N001,LMP,1.68141
2021-04-05T12:00:00Z,2021-04-05T13:00:00Z,2021-04-05,6,IRONMTN_2_N001,LMP,36.40339
2021-04-05T10:00:00Z,2021-04-05T11:00:00Z,2021-04-05,4,IRONMTN_2_N001,LMP,27.25764
2021-04-06T05:00:00Z,2021-04-06T06:00:00Z,2021-04-05,23,IRONMTN_2_N001,LMP,39.24777
2021-04-05T21:00:00Z,2021-04-05T22:00:00Z,2021-04-05,15,IRONMTN_2_N001,LMP,4.78724
2021-04-06T04:00:00Z,2021-04-06T05:00:00Z,2021-04-05,22,IRONMTN_2_N001,LMP,42.69023
2021-04-06T00:00:00Z,2021-04-06T01:00:00Z,2021-04-05,18,IRONMTN_2_N001,LMP,31.21705
2021-04-05T14:00:00Z,2021-04-05T15:00:00Z,2021-04-05,8,IRONMTN_2_N001,LMP,34.69841
2021-04-05T16:00:00Z,2021-04-05T17:00:00Z,2021-04-05,10,IRONMTN_2_N001,LMP,6.75873
2021-04-05T19:00:00Z,2021-04-05T20:00:00Z,2021-04-05,13,IRONMTN_2_N001,LMP,1.31031
2021-04-05T23:00:00Z,2021-04-06T00:00:00Z,2021-04-05,17,IRONMTN_2_N001,LMP,16.13406
2021-04-06T01:00:00Z,2021-04-06T02:00:00Z,2021-04-05,19,IRONMTN_2_N001,LMP,45.48937
2021-04-06T02:00:00Z,2021-04-06T03:00:00Z,2021-04-05,20,IRONMTN_2_N001,LMP,60.00405
2021-04-05T08:00:00Z,2021-04-05T09:00:00Z,2021-04-05,2,IRONMTN_2_N001,LMP,26.87924
2021-04-05T09:00:00Z,2021-04-05T10:00:00Z,2021-04-05,3,IRONMTN_2_N001,LMP,26.73605
2021-04-06T23:00:00Z,2021-04-07T00:00:00Z,2021-04-06,17,IRONMTN_2_N001,LMP,15.16019
2021-04-07T04:00:00Z,2021-04-07T05:00:00Z,2021-04-06,22,IRONMTN_2_N001,LMP,41.99614
2021-04-06T13:00:00Z,2021-04-06T14:00:00Z,2021-04-06,7,IRONMTN_2_N001,LMP,42.7974
2021-04-06T19:00:00Z,2021-04-06T20:00:00Z,2021-04-06,13,IRONMTN_2_N001,LMP,9.2206
2021-04-06T22:00:00Z,2021-04-06T23:00:00Z,2021-04-06,16,IRONMTN_2_N001,LMP,12.86926
2021-04-06T16:00:00Z,2021-04-06T17:00:00Z,2021-04-06,10,IRONMTN_2_N001,LMP,16.55546
2021-04-07T05:00:00Z,2021-04-07T06:00:00Z,2021-04-06,23,IRONMTN_2_N001,LMP,39.90782
2021-04-07T01:00:00Z,2021-04-07T02:00:00Z,2021-04-06,19,IRONMTN_2_N001,LMP,44.74782
2021-04-06T09:00:00Z,2021-04-06T10:00:00Z,2021-04-06,3,IRONMTN_2_N001,LMP,27.4079
2021-04-07T03:00:00Z,2021-04-07T04:00:00Z,2021-04-06,21,IRONMTN_2_N001,LMP,47.66459
2021-04-07T06:00:00Z,2021-04-07T07:00:00Z,2021-04-06,24,IRONMTN_2_N001,LMP,36.87534
2021-04-06T21:00:00Z,2021-04-06T22:00:00Z,2021-04-06,15,IRONMTN_2_N001,LMP,9.54178
2021-04-07T02:00:00Z,2021-04-07T03:00:00Z,2021-04-06,20,IRONMTN_2_N001,LMP,55.96766
2021-04-06T07:00:00Z,2021-04-06T08:00:00Z,2021-04-06,1,IRONMTN_2_N001,LMP,31.45631
2021-04-06T08:00:00Z,2021-04-06T09:00:00Z,2021-04-06,2,IRONMTN_2_N001,LMP,28.68902
2021-04-06T10:00:00Z,2021-04-06T11:00:00Z,2021-04-06,4,IRONMTN_2_N001,LMP,27.82154
2021-04-06T12:00:00Z,2021-04-06T13:00:00Z,2021-04-06,6,IRONMTN_2_N001,LMP,37.05089
2021-04-06T14:00:00Z,2021-04-06T15:00:00Z,2021-04-06,8,IRONMTN_2_N001,LMP,36.31867
2021-04-06T15:00:00Z,2021-04-06T16:00:00Z,2021-04-06,9,IRONMTN_2_N001,LMP,24.22142
2021-04-06T17:00:00Z,2021-04-06T18:00:00Z,2021-04-06,11,IRONMTN_2_N001,LMP,9.53167
2021-04-06T18:00:00Z,2021-04-06T19:00:00Z,2021-04-06,12,IRONMTN_2_N001,LMP,8.12181
2021-04-06T11:00:00Z,2021-04-06T12:00:00Z,2021-04-06,5,IRONMTN_2_N001,LMP,29.63895
2021-04-06T20:00:00Z,2021-04-06T21:00:00Z,2021-04-06,14,IRONMTN_2_N001,LMP,7.46015
2021-04-07T00:00:00Z,2021-04-07T01:00:00Z,2021-04-06,18,IRONMTN_2_N001,LMP,29.18789
2021-04-07T16:00:00Z,2021-04-07T17:00:00Z,2021-04-07,10,IRONMTN_2_N001,LMP,2.28667
2021-04-07T14:00:00Z,2021-04-07T15:00:00Z,2021-04-07,8,IRONMTN_2_N001,LMP,31.31107
2021-04-07T17:00:00Z,2021-04-07T18:00:00Z,2021-04-07,11,IRONMTN_2_N001,LMP,2.88622
2021-04-07T20:00:00Z,2021-04-07T21:00:00Z,2021-04-07,14,IRONMTN_2_N001,LMP,1.36613
2021-04-07T21:00:00Z,2021-04-07T22:00:00Z,2021-04-07,15,IRONMTN_2_N001,LMP,1.55997
2021-04-08T01:00:00Z,2021-04-08T02:00:00Z,2021-04-07,19,IRONMTN_2_N001,LMP,39.91005
2021-04-08T04:00:00Z,2021-04-08T05:00:00Z,2021-04-07,22,IRONMTN_2_N001,LMP,38.76017
2021-04-08T05:00:00Z,2021-04-08T06:00:00Z,2021-04-07,23,IRONMTN_2_N001,LMP,37.33423
2021-04-07T22:00:00Z,2021-04-07T23:00:00Z,2021-04-07,16,IRONMTN_2_N001,LMP,1.43727
